,G,Date,Age,WL,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PTS,GmSc,+/-
0,1,2003-10-29,18,L,,12.0,20.0,0.6,0.0,2.0,0.0,1.0,3.0,0.333,6.0,9.0,4.0,0.0,2.0,25.0,24.7,-9.0
1,2,2003-10-30,18,L,,8.0,17.0,0.471,1.0,5.0,0.2,4.0,7.0,0.5710000000000001,12.0,8.0,1.0,0.0,7.0,21.0,14.7,-3.0
2,3,2003-11-01,18,L,,3.0,12.0,0.25,0.0,1.0,0.0,2.0,2.0,1.0,4.0,6.0,2.0,0.0,2.0,8.0,5.0,-21.0
3,4,2003-11-05,18,L,,3.0,11.0,0.273,0.0,2.0,0.0,1.0,1.0,1.0,11.0,7.0,2.0,3.0,2.0,7.0,11.2,-3.0
4,5,2003-11-07,18,L,,8.0,18.0,0.444,1.0,2.0,0.5,6.0,7.0,0.857,5.0,3.0,0.0,0.0,7.0,23.0,9.0,-7.0
5,6,2003-11-08,18,W,,8.0,19.0,0.421,0.0,0.0,,1.0,4.0,0.25,8.0,9.0,1.0,1.0,2.0,17.0,15.7,14.0
6,7,2003-11-10,18,W,,7.0,12.0,0.583,3.0,3.0,1.0,0.0,0.0,,5.0,4.0,1.0,1.0,2.0,17.0,15.8,20.0
7,8,2003-11-12,18,L,,6.0,15.0,0.4,2.0,5.0,0.4,4.0,6.0,0.667,3.0,7.0,2.0,1.0,4.0,18.0,12.8,-4.0
8,9,2003-11-14,18,L,,3.0,12.0,0.25,2.0,4.0,0.5,2.0,4.0,0.5,5.0,3.0,0.0,0.0,4.0,10.0,0.8,-1.0
9,10,2003-11-15,18,W,,10.0,19.0,0.526,0.0,1.0,0.0,2.0,4.0,0.5,5.0,8.0,1.0,2.0,5.0,22.0,15.6,8.0
10,11,2003-11-18,18,W,,6.0,16.0,0.375,0.0,2.0,0.0,2.0,4.0,0.5,7.0,8.0,0.0,1.0,3.0,14.0,9.8,1.0
11,12,2003-11-19,18,L,,10.0,18.0,0.556,2.0,4.0,0.5,6.0,8.0,0.75,7.0,8.0,2.0,1.0,4.0,28.0,25.0,-5.0
12,13,2003-11-21,18,L,,8.0,19.0,0.421,0.0,2.0,0.0,3.0,3.0,1.0,9.0,2.0,1.0,0.0,1.0,19.0,12.2,-5.0
13,14,2003-11-22,18,L,,3.0,16.0,0.188,0.0,1.0,0.0,9.0,10.0,0.9,6.0,4.0,2.0,1.0,3.0,15.0,9.3,-6.0
14,15,2003-11-26,18,L,,5.0,17.0,0.294,1.0,4.0,0.25,4.0,4.0,1.0,8.0,9.0,0.0,0.0,4.0,15.0,10.2,-13.0
15,16,2003-11-28,18,L,,2.0,8.0,0.25,0.0,2.0,0.0,2.0,3.0,0.667,2.0,7.0,0.0,0.0,4.0,6.0,1.1,-10.0
16,17,2003-11-29,18,L,,14.0,28.0,0.5,3.0,6.0,0.5,2.0,3.0,0.667,16.0,7.0,1.0,1.0,8.0,33.0,22.4,-10.0
17,18,2003-12-02,18,L,,6.0,19.0,0.316,2.0,3.0,0.667,5.0,7.0,0.7140000000000001,6.0,5.0,2.0,0.0,2.0,19.0,12.2,-12.0
18,19,2003-12-03,18,L,,2.0,13.0,0.154,0.0,3.0,0.0,0.0,0.0,,6.0,8.0,2.0,0.0,5.0,4.0,0.9,3.0
19,20,2003-12-06,18,W,,4.0,12.0,0.333,0.0,2.0,0.0,0.0,0.0,,6.0,5.0,2.0,1.0,3.0,8.0,5.8,-5.0
20,21,2003-12-09,18,L,,7.0,16.0,0.438,0.0,0.0,,4.0,4.0,1.0,5.0,3.0,1.0,0.0,2.0,18.0,11.4,-2.0
21,22,2003-12-11,18,W,,8.0,21.0,0.381,1.0,3.0,0.333,6.0,8.0,0.75,3.0,9.0,1.0,1.0,4.0,23.0,14.8,9.0
22,23,2003-12-13,18,L,,10.0,20.0,0.5,1.0,5.0,0.2,16.0,18.0,0.889,3.0,4.0,0.0,0.0,2.0,37.0,27.5,-2.0
23,24,2003-12-15,18,L,,10.0,16.0,0.625,0.0,3.0,0.0,7.0,8.0,0.875,4.0,6.0,3.0,3.0,6.0,27.0,23.9,-12.0
24,25,2003-12-17,18,L,,7.0,19.0,0.368,2.0,4.0,0.5,1.0,2.0,0.5,1.0,3.0,0.0,0.0,2.0,17.0,5.7,-9.0
25,26,2003-12-19,18,W,,14.0,24.0,0.583,5.0,7.0,0.7140000000000001,3.0,3.0,1.0,4.0,5.0,4.0,0.0,4.0,36.0,29.5,9.0
26,27,2003-12-20,18,W,,11.0,22.0,0.5,0.0,5.0,0.0,10.0,12.0,0.833,6.0,10.0,2.0,2.0,4.0,32.0,28.0,9.0
27,28,2003-12-23,18,W,,7.0,22.0,0.318,1.0,6.0,0.16699999999999998,7.0,8.0,0.875,6.0,2.0,6.0,1.0,5.0,22.0,14.3,9.0
28,29,2003-12-25,18,L,,13.0,28.0,0.464,4.0,10.0,0.4,4.0,5.0,0.8,2.0,6.0,2.0,1.0,8.0,34.0,19.1,-9.0
29,30,2003-12-26,18,L,,7.0,24.0,0.292,1.0,4.0,0.25,3.0,4.0,0.75,3.0,4.0,1.0,2.0,5.0,18.0,5.1,-12.0
30,31,2003-12-28,18,W,,15.0,23.0,0.652,0.0,2.0,0.0,2.0,2.0,1.0,10.0,9.0,3.0,0.0,5.0,32.0,30.0,11.0
31,32,2003-12-30,19,L,,9.0,20.0,0.45,0.0,4.0,0.0,4.0,6.0,0.667,10.0,4.0,0.0,0.0,4.0,22.0,12.6,-2.0
32,33,2004-01-02,19,L,,6.0,19.0,0.316,0.0,4.0,0.0,2.0,4.0,0.5,4.0,9.0,1.0,0.0,3.0,14.0,7.4,-14.0
33,34,2004-01-06,19,W,,6.0,17.0,0.353,0.0,2.0,0.0,2.0,2.0,1.0,4.0,10.0,1.0,1.0,4.0,14.0,10.0,10.0
34,35,2004-01-07,19,L,,10.0,23.0,0.435,0.0,3.0,0.0,1.0,2.0,0.5,2.0,5.0,0.0,0.0,2.0,21.0,9.4,-2.0
35,36,2004-01-09,19,L,,7.0,19.0,0.368,0.0,3.0,0.0,5.0,7.0,0.7140000000000001,3.0,6.0,3.0,0.0,5.0,19.0,10.4,-30.0
36,37,2004-01-12,19,L,,6.0,20.0,0.3,0.0,3.0,0.0,4.0,5.0,0.8,5.0,7.0,1.0,1.0,6.0,16.0,5.3,3.0
37,38,2004-01-13,19,W,,11.0,26.0,0.423,0.0,1.0,0.0,5.0,6.0,0.833,9.0,9.0,2.0,0.0,4.0,27.0,20.6,11.0
38,39,2004-01-15,19,L,,8.0,21.0,0.381,2.0,5.0,0.4,11.0,13.0,0.846,6.0,6.0,3.0,0.0,2.0,29.0,24.5,-14.0
39,40,2004-01-17,19,W,,12.0,28.0,0.429,2.0,4.0,0.5,3.0,5.0,0.6,7.0,2.0,2.0,1.0,4.0,29.0,15.2,8.0
40,41,2004-01-26,19,W,,7.0,19.0,0.368,1.0,2.0,0.5,1.0,2.0,0.5,5.0,3.0,0.0,2.0,3.0,16.0,5.5,-10.0
41,42,2004-01-28,19,W,,10.0,25.0,0.4,0.0,1.0,0.0,7.0,10.0,0.7,5.0,4.0,2.0,1.0,1.0,27.0,17.9,2.0
42,43,2004-01-30,19,L,,7.0,25.0,0.28,1.0,6.0,0.16699999999999998,5.0,8.0,0.625,8.0,3.0,1.0,0.0,5.0,20.0,3.4,3.0
43,44,2004-02-01,19,W,,14.0,27.0,0.519,1.0,2.0,0.5,9.0,11.0,0.818,6.0,4.0,0.0,2.0,6.0,38.0,23.5,0.0
44,45,2004-02-03,19,W,,5.0,19.0,0.263,0.0,1.0,0.0,2.0,2.0,1.0,4.0,6.0,2.0,0.0,1.0,12.0,6.7,-1.0
45,46,2004-02-04,19,L,,12.0,26.0,0.462,4.0,4.0,1.0,4.0,5.0,0.8,4.0,4.0,0.0,0.0,0.0,32.0,22.2,-2.0
46,47,2004-02-06,19,L,,6.0,18.0,0.333,1.0,3.0,0.333,1.0,4.0,0.25,9.0,5.0,0.0,0.0,3.0,14.0,5.4,-16.0
47,48,2004-02-07,19,L,,6.0,16.0,0.375,0.0,0.0,,2.0,2.0,1.0,0.0,6.0,4.0,1.0,3.0,14.0,10.3,-24.0
48,49,2004-02-09,19,W,,9.0,25.0,0.36,1.0,6.0,0.16699999999999998,5.0,6.0,0.833,6.0,3.0,2.0,1.0,1.0,24.0,14.1,19.0
49,50,2004-02-11,19,L,,2.0,13.0,0.154,0.0,1.0,0.0,5.0,5.0,1.0,2.0,5.0,1.0,0.0,5.0,9.0,1.2,-12.0
50,51,2004-02-18,19,L,,6.0,12.0,0.5,0.0,0.0,,4.0,4.0,1.0,4.0,9.0,0.0,1.0,5.0,16.0,13.2,-15.0
51,52,2004-02-20,19,W,,14.0,23.0,0.609,0.0,0.0,,4.0,4.0,1.0,11.0,2.0,2.0,1.0,2.0,32.0,27.7,3.0
52,53,2004-02-22,19,W,,7.0,20.0,0.35,0.0,0.0,,8.0,12.0,0.667,5.0,3.0,1.0,0.0,1.0,22.0,12.4,11.0
53,54,2004-02-23,19,W,,7.0,16.0,0.438,1.0,5.0,0.2,6.0,6.0,1.0,4.0,6.0,2.0,5.0,1.0,21.0,21.3,4.0
54,55,2004-02-25,19,L,,5.0,18.0,0.278,0.0,2.0,0.0,1.0,3.0,0.333,7.0,5.0,2.0,1.0,2.0,11.0,6.3,-5.0
55,56,2004-02-27,19,W,,11.0,19.0,0.579,1.0,1.0,1.0,7.0,8.0,0.875,11.0,3.0,3.0,1.0,5.0,30.0,24.8,7.0
56,57,2004-03-01,19,L,,7.0,17.0,0.412,0.0,2.0,0.0,4.0,6.0,0.667,3.0,3.0,4.0,1.0,3.0,18.0,12.0,-4.0
57,58,2004-03-03,19,W,,9.0,17.0,0.529,1.0,2.0,0.5,5.0,6.0,0.833,7.0,3.0,1.0,1.0,1.0,24.0,20.6,22.0
58,59,2004-03-05,19,W,,7.0,17.0,0.412,2.0,2.0,1.0,3.0,4.0,0.75,6.0,4.0,2.0,0.0,4.0,19.0,10.9,1.0
59,60,2004-03-06,19,W,,11.0,24.0,0.458,0.0,3.0,0.0,2.0,3.0,0.667,7.0,10.0,4.0,1.0,2.0,24.0,22.6,9.0
60,61,2004-03-08,19,W,,11.0,23.0,0.478,1.0,4.0,0.25,11.0,13.0,0.846,6.0,7.0,1.0,0.0,2.0,34.0,27.6,11.0
61,62,2004-03-10,19,W,,4.0,13.0,0.308,0.0,0.0,,6.0,7.0,0.857,3.0,4.0,1.0,0.0,2.0,14.0,8.4,16.0
62,63,2004-03-14,19,W,,12.0,22.0,0.545,0.0,2.0,0.0,2.0,4.0,0.5,3.0,4.0,3.0,1.0,4.0,26.0,16.8,5.0
63,64,2004-03-16,19,W,,5.0,16.0,0.313,2.0,3.0,0.667,5.0,8.0,0.625,5.0,8.0,0.0,5.0,4.0,17.0,14.0,24.0
64,65,2004-03-19,19,L,,4.0,14.0,0.28600000000000003,0.0,2.0,0.0,6.0,10.0,0.6,0.0,7.0,2.0,1.0,2.0,14.0,8.6,-2.0
65,66,2004-03-21,19,L,,5.0,17.0,0.294,1.0,4.0,0.25,4.0,5.0,0.8,7.0,3.0,0.0,2.0,4.0,15.0,5.5,-21.0
66,67,2004-03-23,19,L,,8.0,21.0,0.381,2.0,5.0,0.4,7.0,9.0,0.778,2.0,6.0,3.0,1.0,5.0,25.0,16.6,-12.0
67,68,2004-03-26,19,L,,5.0,13.0,0.385,1.0,2.0,0.5,5.0,9.0,0.556,3.0,7.0,0.0,1.0,5.0,16.0,9.2,-24.0
68,69,2004-03-27,19,W,,15.0,29.0,0.517,1.0,2.0,0.5,10.0,10.0,1.0,6.0,13.0,3.0,0.0,2.0,41.0,39.0,10.0
69,70,2004-03-29,19,L,,9.0,20.0,0.45,0.0,1.0,0.0,0.0,0.0,,2.0,4.0,0.0,1.0,2.0,18.0,9.7,-14.0
70,71,2004-03-30,19,L,,13.0,22.0,0.591,0.0,2.0,0.0,2.0,4.0,0.5,5.0,6.0,4.0,0.0,3.0,28.0,23.3,-10.0
71,72,2004-04-02,19,L,,9.0,19.0,0.474,0.0,0.0,,2.0,2.0,1.0,7.0,7.0,5.0,0.0,5.0,20.0,16.1,-13.0
72,73,2004-04-03,19,L,,12.0,28.0,0.429,3.0,5.0,0.6,7.0,11.0,0.636,8.0,10.0,1.0,1.0,3.0,34.0,26.5,-3.0
73,74,2004-04-06,19,L,,5.0,17.0,0.294,0.0,0.0,,11.0,14.0,0.7859999999999999,6.0,4.0,3.0,0.0,3.0,21.0,14.1,2.0
74,75,2004-04-07,19,L,,4.0,11.0,0.364,0.0,0.0,,6.0,7.0,0.857,3.0,5.0,3.0,0.0,2.0,14.0,11.3,-11.0
75,76,2004-04-09,19,L,,6.0,14.0,0.429,1.0,1.0,1.0,11.0,15.0,0.733,7.0,8.0,1.0,0.0,8.0,24.0,15.3,-16.0
76,77,2004-04-10,19,W,,4.0,11.0,0.364,0.0,2.0,0.0,2.0,5.0,0.4,3.0,11.0,0.0,0.0,2.0,10.0,8.5,14.0
77,78,2004-04-12,19,W,,9.0,20.0,0.45,1.0,4.0,0.25,8.0,11.0,0.727,7.0,9.0,2.0,0.0,1.0,27.0,24.8,11.0
78,79,2004-04-14,19,W,,8.0,17.0,0.471,0.0,3.0,0.0,1.0,1.0,1.0,1.0,5.0,3.0,0.0,5.0,17.0,9.7,-6.0
79,1,2004-11-03,19,L,,8.0,19.0,0.421,2.0,5.0,0.4,10.0,12.0,0.833,5.0,8.0,1.0,3.0,6.0,28.0,20.9,-10.0
80,2,2004-11-04,19,L,,9.0,22.0,0.409,2.0,3.0,0.667,1.0,1.0,1.0,6.0,8.0,1.0,0.0,1.0,21.0,17.8,-8.0
81,3,2004-11-06,19,L,,8.0,20.0,0.4,0.0,3.0,0.0,15.0,22.0,0.682,8.0,6.0,3.0,0.0,4.0,31.0,23.8,-12.0
82,4,2004-11-09,19,W,,8.0,17.0,0.471,1.0,4.0,0.25,8.0,12.0,0.667,10.0,4.0,4.0,2.0,3.0,25.0,22.5,14.0
83,5,2004-11-10,19,W,,13.0,24.0,0.542,1.0,2.0,0.5,11.0,12.0,0.917,10.0,6.0,3.0,3.0,3.0,38.0,36.1,14.0
84,6,2004-11-13,19,W,,10.0,20.0,0.5,0.0,3.0,0.0,4.0,5.0,0.8,9.0,4.0,3.0,2.0,4.0,24.0,19.9,25.0
85,7,2004-11-15,19,W,,12.0,22.0,0.545,3.0,5.0,0.6,6.0,8.0,0.75,12.0,4.0,2.0,1.0,1.0,33.0,30.1,15.0
86,8,2004-11-18,19,W,,8.0,14.0,0.5710000000000001,2.0,3.0,0.667,1.0,2.0,0.5,6.0,9.0,0.0,0.0,1.0,19.0,18.3,21.0
87,9,2004-11-20,19,W,,11.0,20.0,0.55,0.0,2.0,0.0,3.0,4.0,0.75,8.0,2.0,3.0,1.0,7.0,25.0,17.5,24.0
88,10,2004-11-21,19,L,,5.0,15.0,0.333,1.0,3.0,0.333,2.0,3.0,0.667,9.0,10.0,1.0,1.0,5.0,13.0,10.1,1.0
89,11,2004-11-24,19,W,,15.0,22.0,0.682,2.0,3.0,0.667,11.0,12.0,0.917,6.0,5.0,3.0,1.0,3.0,43.0,39.2,12.0
90,12,2004-11-26,19,W,,9.0,13.0,0.6920000000000001,0.0,2.0,0.0,2.0,3.0,0.667,6.0,8.0,3.0,1.0,2.0,20.0,22.4,6.0
91,13,2004-11-27,19,W,,11.0,17.0,0.647,1.0,2.0,0.5,3.0,4.0,0.75,7.0,7.0,1.0,0.0,2.0,26.0,24.5,25.0
92,14,2004-11-29,19,L,,9.0,19.0,0.474,0.0,2.0,0.0,4.0,5.0,0.8,7.0,5.0,6.0,1.0,3.0,22.0,20.8,-16.0
93,15,2004-12-01,19,L,,6.0,19.0,0.316,0.0,2.0,0.0,3.0,4.0,0.75,3.0,6.0,2.0,1.0,6.0,15.0,5.1,-17.0
94,16,2004-12-02,19,W,,8.0,17.0,0.471,0.0,0.0,,1.0,2.0,0.5,8.0,9.0,2.0,1.0,5.0,17.0,13.5,23.0
95,17,2004-12-04,19,W,,10.0,17.0,0.588,1.0,3.0,0.333,6.0,7.0,0.857,6.0,10.0,2.0,1.0,3.0,27.0,26.4,15.0
96,18,2004-12-07,19,W,,11.0,22.0,0.5,0.0,1.0,0.0,5.0,6.0,0.833,2.0,8.0,3.0,0.0,3.0,27.0,20.2,6.0
97,19,2004-12-08,19,L,,5.0,15.0,0.333,0.0,2.0,0.0,9.0,12.0,0.75,2.0,6.0,1.0,1.0,4.0,19.0,11.0,-22.0
98,20,2004-12-11,19,L,,10.0,19.0,0.526,1.0,3.0,0.333,2.0,2.0,1.0,6.0,10.0,4.0,0.0,3.0,23.0,23.9,-18.0
99,21,2004-12-13,19,W,,14.0,22.0,0.636,1.0,3.0,0.333,2.0,4.0,0.5,5.0,8.0,7.0,0.0,3.0,31.0,30.7,10.0
100,22,2004-12-15,19,W,,10.0,18.0,0.556,2.0,3.0,0.667,3.0,3.0,1.0,11.0,7.0,3.0,2.0,3.0,25.0,26.4,18.0
101,23,2004-12-16,19,L,,4.0,21.0,0.19,0.0,2.0,0.0,3.0,5.0,0.6,9.0,7.0,4.0,1.0,3.0,11.0,6.0,-8.0
102,24,2004-12-18,19,L,,12.0,25.0,0.48,3.0,5.0,0.6,4.0,8.0,0.5,5.0,4.0,3.0,1.0,4.0,31.0,18.7,-1.0
103,25,2004-12-21,19,W,,10.0,18.0,0.556,0.0,1.0,0.0,6.0,8.0,0.75,6.0,12.0,1.0,0.0,2.0,26.0,25.0,13.0
104,26,2004-12-22,19,L,,7.0,18.0,0.389,1.0,1.0,1.0,8.0,10.0,0.8,9.0,9.0,1.0,0.0,4.0,23.0,18.0,-3.0
105,27,2004-12-26,19,W,,7.0,16.0,0.438,0.0,1.0,0.0,8.0,9.0,0.889,9.0,14.0,4.0,1.0,5.0,22.0,25.0,8.0
106,28,2004-12-28,19,W,,13.0,25.0,0.52,3.0,5.0,0.6,11.0,14.0,0.7859999999999999,9.0,7.0,1.0,0.0,1.0,40.0,33.7,8.0
