,Date,Age,WL,FG,FGA,FG%,3P,3PA,FT,FTA,TRB,AST,STL,BLK,TOV,PTS,GmSc
0,1991-11-01,28.0,W,11.0,18.0,0.611,0.0,3.0,4.0,6.0,5.0,4.0,3.0,1.0,2.0,26.0,22.6
1,1991-11-02,28.0,L,19.0,29.0,0.655,1.0,2.0,7.0,7.0,3.0,3.0,5.0,1.0,4.0,46.0,37.6
2,1991-11-05,28.0,L,17.0,22.0,0.773,1.0,2.0,5.0,8.0,7.0,4.0,1.0,1.0,5.0,40.0,30.6
3,1991-11-06,28.0,W,16.0,26.0,0.615,3.0,4.0,9.0,9.0,3.0,6.0,1.0,1.0,2.0,44.0,36.2
4,1991-11-08,28.0,W,10.0,15.0,0.667,0.0,0.0,6.0,8.0,7.0,5.0,4.0,0.0,0.0,26.0,28.3
5,1991-11-09,28.0,W,13.0,26.0,0.5,0.0,3.0,1.0,1.0,5.0,9.0,3.0,1.0,1.0,27.0,24.5
6,1991-11-12,28.0,W,8.0,14.0,0.5710000000000001,0.0,1.0,4.0,5.0,3.0,4.0,3.0,0.0,0.0,20.0,18.1
7,1991-11-13,28.0,W,11.0,19.0,0.579,1.0,3.0,12.0,12.0,6.0,5.0,3.0,3.0,2.0,35.0,34.5
8,1991-11-15,28.0,W,5.0,10.0,0.5,0.0,0.0,7.0,8.0,7.0,11.0,1.0,0.0,3.0,17.0,19.4
9,1991-11-20,28.0,W,12.0,25.0,0.48,0.0,0.0,11.0,13.0,9.0,7.0,3.0,1.0,3.0,35.0,29.0
10,1991-11-22,28.0,W,11.0,26.0,0.423,0.0,1.0,9.0,10.0,6.0,4.0,2.0,0.0,1.0,31.0,20.4
11,1991-11-23,28.0,W,15.0,28.0,0.536,0.0,1.0,7.0,7.0,6.0,3.0,0.0,1.0,2.0,37.0,24.0
12,1991-11-26,28.0,W,11.0,19.0,0.579,0.0,2.0,1.0,2.0,10.0,5.0,1.0,0.0,6.0,23.0,14.4
13,1991-11-29,28.0,W,16.0,39.0,0.41,0.0,1.0,8.0,10.0,8.0,7.0,3.0,1.0,3.0,40.0,25.9
14,1991-11-30,28.0,W,13.0,21.0,0.619,0.0,2.0,4.0,9.0,6.0,8.0,0.0,1.0,2.0,30.0,23.0
15,1991-12-04,28.0,W,7.0,20.0,0.35,0.0,1.0,2.0,2.0,9.0,9.0,3.0,0.0,7.0,16.0,8.6
16,1991-12-06,28.0,W,8.0,19.0,0.42100000000000004,1.0,2.0,2.0,4.0,11.0,10.0,1.0,0.0,1.0,19.0,17.6
17,1991-12-07,28.0,L,12.0,25.0,0.48,0.0,1.0,8.0,10.0,14.0,9.0,3.0,1.0,4.0,32.0,29.1
18,1991-12-10,28.0,W,7.0,20.0,0.35,0.0,1.0,5.0,8.0,11.0,1.0,0.0,1.0,1.0,19.0,10.3
19,1991-12-13,28.0,W,9.0,18.0,0.5,0.0,2.0,9.0,12.0,8.0,6.0,4.0,0.0,3.0,27.0,24.0
20,1991-12-14,28.0,W,12.0,19.0,0.632,0.0,1.0,5.0,8.0,9.0,1.0,2.0,3.0,1.0,29.0,25.8
21,1991-12-17,28.0,L,6.0,20.0,0.3,0.0,3.0,9.0,10.0,4.0,7.0,3.0,3.0,0.0,21.0,19.0
22,1991-12-20,28.0,W,8.0,18.0,0.444,0.0,0.0,8.0,8.0,5.0,4.0,1.0,2.0,0.0,24.0,21.7
23,1991-12-21,28.0,W,16.0,24.0,0.667,2.0,2.0,3.0,3.0,9.0,10.0,4.0,1.0,3.0,37.0,37.6
24,1991-12-25,28.0,W,6.0,14.0,0.429,0.0,1.0,2.0,2.0,8.0,5.0,2.0,3.0,2.0,14.0,14.2
25,1991-12-26,28.0,W,15.0,31.0,0.484,1.0,2.0,3.0,4.0,3.0,6.0,2.0,3.0,4.0,34.0,23.1
26,1991-12-28,28.0,W,11.0,20.0,0.55,0.0,1.0,11.0,12.0,2.0,8.0,3.0,3.0,6.0,33.0,26.3
27,1991-12-30,28.0,W,10.0,19.0,0.526,0.0,1.0,9.0,11.0,6.0,7.0,3.0,2.0,4.0,29.0,25.2
28,1992-01-03,28.0,L,19.0,29.0,0.655,0.0,2.0,6.0,8.0,6.0,7.0,1.0,0.0,1.0,44.0,36.4
29,1992-01-04,28.0,W,12.0,20.0,0.6,0.0,0.0,3.0,4.0,5.0,1.0,1.0,2.0,0.0,27.0,22.4
30,1992-01-07,28.0,W,7.0,15.0,0.467,1.0,1.0,6.0,6.0,5.0,9.0,4.0,1.0,3.0,21.0,21.6
31,1992-01-08,28.0,W,17.0,27.0,0.63,0.0,0.0,6.0,9.0,6.0,8.0,1.0,2.0,4.0,40.0,31.3
32,1992-01-10,28.0,W,15.0,25.0,0.6,1.0,2.0,6.0,6.0,5.0,4.0,1.0,1.0,2.0,37.0,28.7
33,1992-01-11,28.0,W,10.0,19.0,0.526,0.0,0.0,10.0,10.0,6.0,7.0,1.0,1.0,1.0,30.0,26.5
34,1992-01-14,28.0,W,11.0,20.0,0.55,0.0,1.0,4.0,4.0,5.0,4.0,5.0,2.0,2.0,26.0,25.1
35,1992-01-16,28.0,W,15.0,26.0,0.5770000000000001,0.0,2.0,5.0,6.0,4.0,8.0,2.0,1.0,2.0,35.0,28.3
36,1992-01-17,28.0,W,10.0,23.0,0.435,1.0,1.0,10.0,10.0,4.0,8.0,1.0,0.0,1.0,31.0,24.5
37,1992-01-19,28.0,W,12.0,27.0,0.444,0.0,2.0,10.0,14.0,6.0,6.0,2.0,0.0,3.0,34.0,22.1
38,1992-01-21,28.0,W,13.0,23.0,0.565,0.0,0.0,4.0,5.0,5.0,7.0,5.0,1.0,4.0,30.0,26.4
39,1992-01-22,28.0,W,7.0,18.0,0.389,1.0,2.0,8.0,8.0,6.0,4.0,2.0,2.0,5.0,23.0,16.2
40,1992-01-24,28.0,W,9.0,14.0,0.643,0.0,0.0,2.0,2.0,2.0,5.0,0.0,2.0,2.0,20.0,17.7
41,1992-01-25,28.0,W,12.0,27.0,0.444,3.0,3.0,8.0,10.0,3.0,5.0,4.0,1.0,4.0,35.0,24.4
42,1992-01-28,28.0,L,15.0,31.0,0.484,0.0,1.0,9.0,11.0,9.0,7.0,4.0,0.0,3.0,39.0,29.9
43,1992-01-30,28.0,L,9.0,26.0,0.34600000000000003,0.0,1.0,4.0,4.0,5.0,5.0,3.0,0.0,1.0,22.0,14.0
44,1992-01-31,28.0,W,10.0,17.0,0.588,0.0,1.0,5.0,6.0,10.0,9.0,1.0,0.0,1.0,25.0,25.6
45,1992-02-02,28.0,W,13.0,27.0,0.48100000000000004,1.0,1.0,6.0,8.0,8.0,11.0,2.0,0.0,5.0,33.0,24.0
46,1992-02-03,28.0,L,13.0,34.0,0.382,1.0,1.0,7.0,9.0,13.0,8.0,2.0,1.0,2.0,34.0,23.6
47,1992-02-11,28.0,W,13.0,23.0,0.565,0.0,0.0,8.0,9.0,6.0,7.0,4.0,2.0,3.0,34.0,31.4
48,1992-02-13,28.0,W,4.0,15.0,0.267,0.0,0.0,9.0,11.0,2.0,5.0,1.0,0.0,1.0,17.0,11.0
