,Date,Age,WL,FG,FGA,FG%,3P,3PA,FT,FTA,TRB,AST,STL,BLK,TOV,PTS,GmSc
0,2003-10-29,18.0,L,12.0,20.0,0.6,0.0,2.0,1.0,3.0,6.0,9.0,4.0,0.0,2.0,25.0,24.7
1,2003-10-30,18.0,L,8.0,17.0,0.47100000000000003,1.0,5.0,4.0,7.0,12.0,8.0,1.0,0.0,7.0,21.0,14.7
2,2003-11-01,18.0,L,3.0,12.0,0.25,0.0,1.0,2.0,2.0,4.0,6.0,2.0,0.0,2.0,8.0,5.0
3,2003-11-05,18.0,L,3.0,11.0,0.273,0.0,2.0,1.0,1.0,11.0,7.0,2.0,3.0,2.0,7.0,11.2
4,2003-11-07,18.0,L,8.0,18.0,0.444,1.0,2.0,6.0,7.0,5.0,3.0,0.0,0.0,7.0,23.0,9.0
5,2003-11-08,18.0,W,8.0,19.0,0.42100000000000004,0.0,0.0,1.0,4.0,8.0,9.0,1.0,1.0,2.0,17.0,15.7
6,2003-11-10,18.0,W,7.0,12.0,0.583,3.0,3.0,0.0,0.0,5.0,4.0,1.0,1.0,2.0,17.0,15.8
7,2003-11-12,18.0,L,6.0,15.0,0.4,2.0,5.0,4.0,6.0,3.0,7.0,2.0,1.0,4.0,18.0,12.8
8,2003-11-14,18.0,L,3.0,12.0,0.25,2.0,4.0,2.0,4.0,5.0,3.0,0.0,0.0,4.0,10.0,0.8
9,2003-11-15,18.0,W,10.0,19.0,0.526,0.0,1.0,2.0,4.0,5.0,8.0,1.0,2.0,5.0,22.0,15.6
10,2003-11-18,18.0,W,6.0,16.0,0.375,0.0,2.0,2.0,4.0,7.0,8.0,0.0,1.0,3.0,14.0,9.8
11,2003-11-19,18.0,L,10.0,18.0,0.556,2.0,4.0,6.0,8.0,7.0,8.0,2.0,1.0,4.0,28.0,25.0
12,2003-11-21,18.0,L,8.0,19.0,0.42100000000000004,0.0,2.0,3.0,3.0,9.0,2.0,1.0,0.0,1.0,19.0,12.2
13,2003-11-22,18.0,L,3.0,16.0,0.188,0.0,1.0,9.0,10.0,6.0,4.0,2.0,1.0,3.0,15.0,9.3
14,2003-11-26,18.0,L,5.0,17.0,0.294,1.0,4.0,4.0,4.0,8.0,9.0,0.0,0.0,4.0,15.0,10.2
15,2003-11-28,18.0,L,2.0,8.0,0.25,0.0,2.0,2.0,3.0,2.0,7.0,0.0,0.0,4.0,6.0,1.1
16,2003-11-29,18.0,L,14.0,28.0,0.5,3.0,6.0,2.0,3.0,16.0,7.0,1.0,1.0,8.0,33.0,22.4
17,2003-12-02,18.0,L,6.0,19.0,0.316,2.0,3.0,5.0,7.0,6.0,5.0,2.0,0.0,2.0,19.0,12.2
18,2003-12-03,18.0,L,2.0,13.0,0.154,0.0,3.0,0.0,0.0,6.0,8.0,2.0,0.0,5.0,4.0,0.9
19,2003-12-06,18.0,W,4.0,12.0,0.33299999999999996,0.0,2.0,0.0,0.0,6.0,5.0,2.0,1.0,3.0,8.0,5.8
20,2003-12-09,18.0,L,7.0,16.0,0.43799999999999994,0.0,0.0,4.0,4.0,5.0,3.0,1.0,0.0,2.0,18.0,11.4
21,2003-12-11,18.0,W,8.0,21.0,0.381,1.0,3.0,6.0,8.0,3.0,9.0,1.0,1.0,4.0,23.0,14.8
22,2003-12-13,18.0,L,10.0,20.0,0.5,1.0,5.0,16.0,18.0,3.0,4.0,0.0,0.0,2.0,37.0,27.5
23,2003-12-15,18.0,L,10.0,16.0,0.625,0.0,3.0,7.0,8.0,4.0,6.0,3.0,3.0,6.0,27.0,23.9
24,2003-12-17,18.0,L,7.0,19.0,0.368,2.0,4.0,1.0,2.0,1.0,3.0,0.0,0.0,2.0,17.0,5.7
25,2003-12-19,18.0,W,14.0,24.0,0.583,5.0,7.0,3.0,3.0,4.0,5.0,4.0,0.0,4.0,36.0,29.5
26,2003-12-20,18.0,W,11.0,22.0,0.5,0.0,5.0,10.0,12.0,6.0,10.0,2.0,2.0,4.0,32.0,28.0
27,2003-12-23,18.0,W,7.0,22.0,0.318,1.0,6.0,7.0,8.0,6.0,2.0,6.0,1.0,5.0,22.0,14.3
28,2003-12-25,18.0,L,13.0,28.0,0.46399999999999997,4.0,10.0,4.0,5.0,2.0,6.0,2.0,1.0,8.0,34.0,19.1
29,2003-12-26,18.0,L,7.0,24.0,0.292,1.0,4.0,3.0,4.0,3.0,4.0,1.0,2.0,5.0,18.0,5.1
30,2003-12-28,18.0,W,15.0,23.0,0.652,0.0,2.0,2.0,2.0,10.0,9.0,3.0,0.0,5.0,32.0,30.0
31,2003-12-30,19.0,L,9.0,20.0,0.45,0.0,4.0,4.0,6.0,10.0,4.0,0.0,0.0,4.0,22.0,12.6
32,2004-01-02,19.0,L,6.0,19.0,0.316,0.0,4.0,2.0,4.0,4.0,9.0,1.0,0.0,3.0,14.0,7.4
33,2004-01-06,19.0,W,6.0,17.0,0.353,0.0,2.0,2.0,2.0,4.0,10.0,1.0,1.0,4.0,14.0,10.0
34,2004-01-07,19.0,L,10.0,23.0,0.435,0.0,3.0,1.0,2.0,2.0,5.0,0.0,0.0,2.0,21.0,9.4
35,2004-01-09,19.0,L,7.0,19.0,0.368,0.0,3.0,5.0,7.0,3.0,6.0,3.0,0.0,5.0,19.0,10.4
36,2004-01-12,19.0,L,6.0,20.0,0.3,0.0,3.0,4.0,5.0,5.0,7.0,1.0,1.0,6.0,16.0,5.3
37,2004-01-13,19.0,W,11.0,26.0,0.423,0.0,1.0,5.0,6.0,9.0,9.0,2.0,0.0,4.0,27.0,20.6
