,Date,WL,FG,FGA,FG%,3P,3PA,FT,FTA,TRB,AST,STL,BLK,TOV,PTS,GmSc,+/-
0,2006-04-22,W,12.0,27.0,0.444,1.0,4.0,7.0,11.0,11.0,11.0,0.0,0.0,4.0,32.0,23.3,11.0
1,2006-04-25,L,7.0,25.0,0.28,1.0,6.0,11.0,15.0,9.0,2.0,2.0,3.0,10.0,26.0,6.7,-2.0
2,2006-04-28,W,16.0,28.0,0.5710000000000001,3.0,5.0,6.0,9.0,5.0,3.0,2.0,0.0,4.0,41.0,27.4,1.0
3,2006-04-30,L,13.0,23.0,0.565,7.0,12.0,5.0,7.0,6.0,5.0,0.0,0.0,7.0,38.0,23.0,-16.0
4,2006-05-03,W,14.0,23.0,0.609,0.0,1.0,17.0,18.0,7.0,6.0,2.0,0.0,4.0,45.0,38.4,-4.0
5,2006-05-05,W,15.0,25.0,0.6,1.0,6.0,1.0,3.0,7.0,7.0,2.0,1.0,5.0,32.0,22.8,1.0
7,2006-05-07,L,9.0,18.0,0.5,2.0,5.0,2.0,2.0,4.0,4.0,0.0,0.0,4.0,22.0,12.2,-31.0
8,2006-05-09,L,11.0,23.0,0.478,2.0,5.0,6.0,8.0,14.0,7.0,0.0,0.0,3.0,30.0,22.8,-4.0
9,2006-05-13,W,9.0,18.0,0.5,1.0,4.0,2.0,2.0,10.0,10.0,4.0,1.0,4.0,21.0,21.9,9.0
10,2006-05-15,W,8.0,23.0,0.348,1.0,2.0,5.0,10.0,8.0,9.0,2.0,2.0,8.0,22.0,10.4,2.0
11,2006-05-17,W,13.0,30.0,0.433,1.0,4.0,5.0,7.0,5.0,5.0,2.0,1.0,2.0,32.0,21.1,2.0
12,2006-05-19,L,8.0,20.0,0.4,1.0,5.0,15.0,18.0,11.0,5.0,1.0,1.0,7.0,32.0,20.7,-2.0
13,2006-05-21,L,11.0,24.0,0.45799999999999996,0.0,4.0,5.0,8.0,8.0,2.0,1.0,0.0,3.0,27.0,15.6,-16.0
15,2007-04-22,W,7.0,14.0,0.5,0.0,2.0,9.0,11.0,9.0,7.0,2.0,0.0,1.0,23.0,24.2,17.0
16,2007-04-25,W,8.0,22.0,0.364,0.0,3.0,11.0,13.0,8.0,7.0,1.0,2.0,2.0,27.0,22.5,12.0
17,2007-04-28,W,11.0,22.0,0.5,3.0,5.0,5.0,7.0,6.0,9.0,1.0,0.0,2.0,30.0,24.1,6.0
18,2007-04-30,W,8.0,22.0,0.364,1.0,5.0,14.0,17.0,11.0,7.0,3.0,1.0,2.0,31.0,27.5,12.0
20,2007-05-06,W,8.0,21.0,0.381,1.0,4.0,4.0,6.0,11.0,7.0,1.0,1.0,3.0,21.0,15.6,6.0
21,2007-05-08,W,12.0,24.0,0.5,3.0,7.0,9.0,13.0,1.0,12.0,3.0,0.0,2.0,36.0,31.3,8.0
22,2007-05-12,L,5.0,16.0,0.313,1.0,5.0,7.0,7.0,6.0,12.0,0.0,0.0,2.0,18.0,16.2,-12.0
23,2007-05-14,W,9.0,16.0,0.563,2.0,3.0,10.0,15.0,9.0,7.0,0.0,0.0,3.0,30.0,24.6,9.0
24,2007-05-16,L,5.0,14.0,0.35700000000000004,0.0,2.0,10.0,11.0,9.0,5.0,2.0,1.0,5.0,20.0,15.3,-15.0
25,2007-05-18,W,8.0,20.0,0.4,1.0,5.0,6.0,9.0,8.0,8.0,1.0,0.0,2.0,23.0,16.8,26.0
27,2007-05-21,L,5.0,15.0,0.33299999999999996,0.0,0.0,0.0,0.0,10.0,9.0,4.0,1.0,2.0,10.0,13.5,-5.0
28,2007-05-24,L,7.0,19.0,0.368,0.0,1.0,5.0,7.0,6.0,7.0,3.0,0.0,6.0,19.0,11.0,-6.0
29,2007-05-27,W,12.0,21.0,0.5710000000000001,2.0,3.0,6.0,9.0,9.0,9.0,2.0,0.0,3.0,32.0,28.5,6.0
30,2007-05-29,W,8.0,19.0,0.42100000000000004,1.0,5.0,8.0,9.0,7.0,11.0,3.0,0.0,3.0,25.0,24.3,-4.0
31,2007-05-31,W,18.0,33.0,0.545,2.0,3.0,10.0,14.0,9.0,7.0,2.0,0.0,2.0,48.0,38.1,2.0
32,2007-06-02,W,3.0,11.0,0.273,0.0,2.0,14.0,19.0,14.0,8.0,2.0,2.0,3.0,20.0,22.1,13.0
34,2007-06-07,L,4.0,16.0,0.25,2.0,6.0,4.0,4.0,7.0,4.0,1.0,1.0,6.0,14.0,5.0,-5.0
35,2007-06-10,L,9.0,21.0,0.429,0.0,2.0,7.0,11.0,7.0,6.0,1.0,0.0,6.0,25.0,13.6,-5.0
36,2007-06-12,L,9.0,23.0,0.391,0.0,5.0,7.0,8.0,8.0,7.0,2.0,1.0,5.0,25.0,15.9,4.0
37,2007-06-14,L,10.0,30.0,0.33299999999999996,2.0,7.0,2.0,6.0,6.0,10.0,0.0,0.0,6.0,24.0,7.8,2.0
39,2008-04-19,W,12.0,19.0,0.632,0.0,2.0,8.0,14.0,6.0,4.0,1.0,2.0,1.0,32.0,26.7,9.0
40,2008-04-21,W,9.0,19.0,0.474,2.0,6.0,10.0,17.0,9.0,12.0,1.0,2.0,1.0,30.0,29.6,34.0
41,2008-04-24,L,10.0,19.0,0.526,0.0,4.0,2.0,4.0,7.0,3.0,1.0,1.0,4.0,22.0,12.6,-24.0
42,2008-04-27,W,11.0,25.0,0.44,3.0,8.0,9.0,14.0,12.0,7.0,2.0,0.0,5.0,34.0,23.2,3.0
43,2008-04-30,L,8.0,21.0,0.381,3.0,9.0,15.0,18.0,10.0,7.0,1.0,2.0,5.0,34.0,27.4,-3.0
44,2008-05-02,W,8.0,17.0,0.47100000000000003,1.0,2.0,10.0,10.0,13.0,13.0,2.0,1.0,1.0,27.0,33.0,26.0
46,2008-05-06,L,2.0,18.0,0.111,0.0,6.0,8.0,10.0,9.0,9.0,1.0,1.0,10.0,12.0,-0.7,-7.0
47,2008-05-08,L,6.0,24.0,0.25,0.0,4.0,9.0,13.0,5.0,6.0,2.0,1.0,7.0,21.0,6.8,-15.0
48,2008-05-10,W,5.0,16.0,0.313,3.0,5.0,8.0,12.0,5.0,8.0,4.0,3.0,2.0,21.0,20.2,29.0
49,2008-05-12,W,7.0,20.0,0.35,2.0,5.0,5.0,8.0,6.0,13.0,3.0,2.0,4.0,21.0,19.1,15.0
50,2008-05-14,L,12.0,25.0,0.48,0.0,5.0,11.0,13.0,3.0,5.0,1.0,1.0,4.0,35.0,22.4,-8.0
