,Date,WL,FG,FGA,FG%,3P,3PA,FT,FTA,TRB,AST,STL,BLK,TOV,PTS,GmSc
0,1985-04-19,L,7.0,19.0,0.368,0.0,1.0,9.0,10.0,4.0,10.0,3.0,0.0,1.0,23.0,21.5
1,1985-04-21,L,9.0,17.0,0.529,1.0,4.0,11.0,12.0,4.0,12.0,2.0,0.0,7.0,30.0,24.3
2,1985-04-24,W,12.0,26.0,0.462,0.0,1.0,11.0,16.0,8.0,7.0,4.0,1.0,3.0,35.0,28.2
3,1985-04-26,L,6.0,16.0,0.375,0.0,2.0,17.0,20.0,7.0,5.0,2.0,3.0,4.0,29.0,24.3
5,1986-04-17,L,18.0,36.0,0.5,0.0,0.0,13.0,15.0,4.0,2.0,2.0,1.0,5.0,49.0,29.3
6,1986-04-20,L,22.0,41.0,0.537,0.0,0.0,19.0,21.0,5.0,6.0,3.0,2.0,4.0,63.0,47.2
7,1986-04-22,L,8.0,18.0,0.444,1.0,1.0,2.0,3.0,10.0,9.0,2.0,1.0,5.0,19.0,15.4
9,1987-04-23,L,12.0,25.0,0.48,0.0,1.0,11.0,11.0,6.0,7.0,4.0,2.0,2.0,35.0,30.8
10,1987-04-26,L,14.0,29.0,0.483,2.0,3.0,12.0,14.0,4.0,4.0,0.0,4.0,4.0,42.0,28.5
11,1987-04-28,L,9.0,30.0,0.3,0.0,1.0,12.0,14.0,11.0,7.0,2.0,1.0,2.0,30.0,21.5
13,1988-04-28,W,19.0,35.0,0.5429999999999999,0.0,0.0,12.0,12.0,7.0,2.0,2.0,2.0,5.0,50.0,34.2
14,1988-05-01,W,24.0,45.0,0.5329999999999999,0.0,0.0,7.0,7.0,6.0,3.0,4.0,1.0,1.0,55.0,40.3
15,1988-05-03,L,12.0,25.0,0.48,0.0,0.0,14.0,15.0,5.0,9.0,2.0,1.0,4.0,38.0,30.2
16,1988-05-05,L,18.0,25.0,0.72,0.0,0.0,8.0,9.0,5.0,4.0,4.0,2.0,4.0,44.0,37.4
17,1988-05-08,W,12.0,22.0,0.545,0.0,0.0,15.0,18.0,4.0,6.0,2.0,2.0,7.0,39.0,27.8
